,id,audio_wav,text
0,0,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User001F_001.wav,아 친구들도?
1,1,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User001F_002.wav,나는 생일?
2,2,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User001F_003.wav,"생일날이면은 내가 고기를 되게 좋아하니까 엄마도 그걸 아니까 미역국도 같이 해주시는데 꼭 고기를 같이 구워주시거나 아니면 여행을 가서 고기를 구워 먹는다거나 꼭 고깃집에 가서 어 해먹어, 꼭."
3,3,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User001F_004.wav,선물이라 이 보통 돈으로 주시지.
4,4,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User001F_005.wav,용돈으로 주시고.
5,5,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User001F_006.wav,옛날에는 내가 원하는 게 뭔지 일단 물어보시곤 했던 거 같애.
6,6,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User001F_007.wav,옷이라든가 갖고 싶은 거 있나라든가 근데 이제 나이를 먹을수록 현금으로 챙겨주시더라구.
7,7,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User001F_008.wav,응 나도 되게 여행 가는 걸 좋아하긴 하는데 가족 다 같이 가는 것보다 되게 엄마랑 여행 가는 게 많았던 거 같아.
8,8,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User001F_009.wav,어 단둘이.
9,9,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User001F_010.wav,"그 되게 아빠나 오빠가 시간이 안 나거나 꼭 어디 약속이 있다거나 그래가지고 엄마가 주말마다 좀 같이 둘이 어디 데려다가 줬어, 그냥."
10,10,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User001F_011.wav,여행 여행을.
11,11,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User001F_012.wav,최근 최근에?
12,12,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User001F_013.wav,굳이 가자면 나는 부산에 가면 꼭 엄마가 생각나.
13,13,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User001F_014.wav,어 부산을 좀 가기도 많이 갔는데 부산에 엄마가 좀 그 친척들이 가지고.
14,14,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User001F_015.wav,아 되게 되게 처음이라 엉망진창이었던 거 같긴 한데.
15,15,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User001F_001.wav,그 꼰대에 특징을 갖고 있다거나 막 그런 거?
16,16,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User001F_002.wav,근데 나는 약간 그니까 어떤 사람한테는 꼰대로 느껴질 수 있긴 한데 솔직히 이게 다 들어 보면은 되게 좋은 말이고 다 필요한 말이거든?
17,17,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User001F_003.wav,근데 그게 좀 듣기 싫을 수가 있으니까 그게 꼰대처럼 느껴지는 거지.
18,18,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User001F_004.wav,"나는 괜찮았다고 생각했어, 그게."
19,19,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User001F_005.wav,그니까 그니까 오빠를 모르던 모르는 사람이 오빠가 막 나때는 이러이러 했는데 너는 그렇게 하는 게 좋지 않을까 하고 얘기를 하면은.
20,20,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User001F_006.wav,그니까 이 사람 꼰대인가라는 생각이 들 수 있긴 한데 나는 오빠를 알고 있으니까 좋은 의도로 말을 하는 거나 하는 걸 알고 있으니까 꼰대라고는 생각은 안 들었어.
21,21,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User001F_007.wav,위에 사람한테?
22,22,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User001F_008.wav,근데 나는 그렇게 사람을 많이 만나보는 경험이 없어가지고 특히 위에 사람을 만나는 경우 거의 없었거든?
23,23,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User001F_009.wav,그니까 회식 자리를 가도 그런 별로 대화를 많이 나눈 편은 아니였어서 그런 경우는 없었는데 근데 위에 사람한테 물 좀 달라고 한다는 거는 좀 정중하게는 얘기한 적 있었던 거 같애.
24,24,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User001F_010.wav,어 그거는 좀 문제가 있다.
25,25,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User001F_011.wav,내가 갈 수 있는데 굳이 윗사람한테 너가 갔다 와라.
26,26,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User001F_012.wav,약간 나는 그거면은 문제가 있다고 생각해.
27,27,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User001F_013.wav,그니까 조언이나 그런 게 아니라 내 자랑만 하고 뭔가 나를 좀 띄워주면서 얘기를 하고 되게 좀 좋은 의도로 말을 하지도 않으면서 좀 후배들을 부리려고 하는 사람?
28,28,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User001F_014.wav,그런 건 문제가 있다고 생각해.
29,29,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User001F_001.wav,아니 근데 근데 그러면 굳이 룸메를 했어야 해?
30,30,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User001F_002.wav,너무 잘 맞아서 대화가 없는 건가?
31,31,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User001F_003.wav,되게 오래 살았는데?
32,32,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User001F_004.wav,어 좀 비슷하게 라고는 말하기 좀 그런데 약간 버스를 타다가 넘어 그니까 되게 급 정차를 해 하는 바람에 버스가 그래서 막.
33,33,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User001F_005.wav,발이 미끄러져서 모르는 사람 다리에 앉은 경험이 한 번 있는데 그런 경험도 있고 그 뭐지 내가 어릴 때 한 초등학교 때 그때 되게 인사를 잘하는 아이였거든?
34,34,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User001F_006.wav,그래서 되게 모르는 사람이나 지나 가는 되게 어른들 한.
35,35,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User001F_007.wav,같은 아파트 내에 있는 어른들이나 그런 사람들한텐 다 인사하고 다녔어.
36,36,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User001F_008.wav,근데 너무 열심히 해 해가지고 내가 그거 땜에 친구를 사귄 경험도 있었는데 인제 내가 그 원대 병원에 갔었는데 내가 너무 인사를 열심히 하다가 모르는 모르는 여자 의사 선생님한테 인사를 하고 갔는데 그 의사 선생님이 갑자기 나를 보더니.
37,37,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User001F_009.wav,혹시 여기 무슨 검사 받았 적 있었냐고 나한테 검사받았던 환자시냐고 묻는 거야.
38,38,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User001F_010.wav,그래서 어린 어렸을 때 난 너무 당황해가지고 어 아니에요 잘 잘 잘못 인사했어요 하고 이제 응 이제 그 그 이후로 모르는 사람한테는 인사를 하지 않게 됐어.
39,39,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User001F_011.wav,그래서 되게 인사를 열심히 하다가 그 이후로 안 하게 됐어.
40,40,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User001F_012.wav,그니까 아는 사람이면 인사를 하거나 같은 자주 보는 그런 지 사람이면 인사를 하는데 정말 처음 보는 사람이다 그런 그런 경운 안 하게 되더라구.
41,41,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User001F_013.wav,확실히 시대 별로 유행하는 그런 게임도 많이 다른 거 같기는 한 거 같애.
42,42,./KEMDy20_v1_1/wav\Session01\Sess01_script03_User001F_014.wav,요즘은 뭐가 유행하드라 게임이?
