,id,audio_wav,text
0,0,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_001.wav,"나는 어 어머니, 엄마가 이제 생일 때마다 이제 미역국도 많이 해서 미역국을 되게 좋아하거든."
1,1,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_002.wav,전에도 말했지만 그래서 미역국이랑 볶음김치 막 해주셔서 맨날 그렇게 차려주시는데 어 옛날에는 이제 집에서 밥 먹는 거 보다 그 캔모아 빙수 있는데 있잖아.
2,2,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_003.wav,어 응 거기를 되게 엄 집 앞에 그 조그만한 가게로 있었는데 거기를 엄청 생일 때마다 매번 같이 데려갔었거든.
3,3,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_004.wav,거기서 엄마랑 둘이 생일 파티 그냥 간단하게 하는 경우도 있었고 보 음 보통 그렇게 아니면 친구들 이제 거기 빙수 가게로 불러서 같이 빙수 먹으면서 케익도 불고 막 이랬었었어.
4,4,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_005.wav,"응응 그래서 생일 때 그렇게 했던 경험이 있는데 그때가 이제 초등학교 때였는데 이제 중학교 때쯤 가게가 문을 닫았거든, 집 앞이었는데."
5,5,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_006.wav,그래서 이제 막 지역 돌아다니면서 캔모아 빙수 있는 가게 저번에 광주 갔을 때도 있었 갔었잖아.
6,6,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_007.wav,어 그래서 그런 가게들을 갈 때면 맨날 엄마 생각이 되게 자주 났어.
7,7,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_008.wav,그래서 일부러 보이면 일부러 가기도 해.
8,8,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_009.wav,거기 그때 먹었던 빙수 맛이 그대로인데 되게 맛있었거든.
9,9,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_010.wav,"그래서 일부러 좀 자주 일부러 찾아서 가는 경향도 좀 있는 거 같애, 옛날 추억도 있고."
10,10,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_011.wav,거기 가면 꼭 먹는 게 떡볶이 막 구멍 나 있는 거랑 그 빙수랑 딱 같이 두 개는 무조건 시켜서 먹는 거 같애.
11,11,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_012.wav,그래서 되게 그거 말고도 뭐 선물 같은 거는 어머니가 막 해주셔?
12,12,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_013.wav,해주셨었어?
13,13,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_014.wav,어 용돈으로?
14,14,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_015.wav,"나도 옛날에는 막 사고 싶었던 물건들 막 주셨는데 지금 보통 용돈으로 주시는 거 같애, 거의 고등학생 이후로는."
15,15,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_016.wav,그래가지고 좀 뭔가 그 생각도 들어.
16,16,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_017.wav,뭔가 나를 기념해 주는 선물을 받으면 또 어머니 생각이 많이 날 거 같기도 해.
17,17,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_018.wav,옛날에 옛날에 막 그 뭐지?
18,18,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_019.wav,"요번에 나 어머니 생신 때 그 편지 써줬거든, 책으로 된 거 그걸로 드렸었거든."
19,19,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_020.wav,그래서 그거 쓰면서도 되게 어머니 생각이 되게 많이 났던 거 같애.
20,20,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_021.wav,"응, 그거 말고도 뭐 여행 가는 거나 우리 집은 되게 여행을 많이 갔었거든."
21,21,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_022.wav,다른 친 주변 친구들에 비해서.
22,22,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_023.wav,그래서 나는 그게 당연한 건 줄 알았는데 그게 다 사진으로 기록이 되고 남으니까 되게 좋은 거 같더라.
23,23,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_024.wav,사진을 막 사진첩 열면 계속 어 엄마나 아버지나 형 생각도 계속 나는 거 같애.
24,24,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_025.wav,이렇게 떨어져 있다 보니까.
25,25,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_026.wav,아 단둘이 그러면?
26,26,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_027.wav,단 둘이 여행 가는 거야?
27,27,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_028.wav,그럼 어디 가면 생각나는 그런 게 있어?
28,28,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_029.wav,어 최근에 어디를 가면?
29,29,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_030.wav,아 부산을 가면?
30,30,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_031.wav,"나도 좀 그 울산 쪽이거든, 부산 옆에 이제 그러다 보니까 그쪽도 자주 가는 거 같애."
31,31,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_032.wav,그래서 아버지는 되게 생선 엄청 좋아하시고 어머니랑 가 어머니가 자주 고기 생선 구워서 주시거든.
32,32,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_033.wav,그래갖고 그것도 막 생각 나는 거 같애.
33,33,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_034.wav,집 밥 먹을 때가 제일 많이 좋은 거 같은데 요새 이제 익산에서 지내다 보니까 맨날 우리 나 배달 시켜 먹고 밖에서 먹고 맨날 이러잖아.
34,34,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_035.wav,그래서 되게 많이 생각 나는 거 같애.
35,35,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_036.wav,그래서 내 생일날 가영이가 이제 미역국이랑 막 해줬을 때 되게 좋았었어.
36,36,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_037.wav,생각이 많이 났어.
37,37,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_038.wav,그래서 뭔가 다음번에 같이 만들면 더 맛있게 만들 수 있지 않을까라는 생각이 들었었어.
38,38,./KEMDy20_v1_1/wav\Session01\Sess01_script01_User002M_039.wav,응 그래서 한 번 나중에 가영이 생일 때 내년에 도전을 해봐야겠다.
39,39,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_001.wav,"응, 어 나는 그 꼰대라는 개념을 좀 대학교에 처음 들어왔을 때 어 처음 처음 느꼈던 거 같애."
40,40,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_002.wav,그 막 대학교 처음 들어 와서 이제 막 학생회 활동하고 과 동아리 활동하고 이렇게 했는데 학생회가 주로 술을 되게 자주 먹었었거든.
41,41,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_003.wav,"응 그러다 보니까 이제 술자리에서 어 막 진짜 나때는 말이야라는 말을 진짜 많이 들었었어, 그때 당시에."
42,42,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_004.wav,그래갖고 어 이런 이런 자리에서는 이렇게 하는 거야라고 뭔가 조언을 해주시는데 그때 그때 당시에는 응 그냥 그게 처음 먹는 어떻게 보면 첫 접하는 사회에서의 술자리다 보니까 위 내 윗분들이랑 부모님이랑 먹는 거 말고.
43,43,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_005.wav,그래서 되게 그런 거에 대한 개념이 없었는데 어 나중에 이제 1학년이 끝나고 나서 좀 아 저 사람들이 되게 꼰대구나 되게 이런 거를 많이 느 그때 이제 알고 나니까 이제 알겠더라고.
44,44,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_006.wav,"그래서 나는 어 나는 저러지 말아야지라는 생각을 많이 했었어, 그때 당시."
45,45,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_007.wav,"그러고 이제 군대를 갔다 오니까 어 오 오히려 나도 나도 조금 꼰대가 돼 있는 거 같더라고, 방금 그 영상을 보미 보니까."
46,46,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_008.wav,응 혹시 가영이가 나를 봤을 때는 그런 그런 거 같은 걸 못 느꼈어?
47,47,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_009.wav,"어 뭔가 그게 되게 조금의 차이, 생각의 차인 거 같애."
48,48,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_010.wav,이게 잔 부모님으로 치면 뭔가 잔소리냐 아니면 그 조언이냐 이 차인 거 같애.
49,49,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_011.wav,그냥 되게 그거 느낌이 좀 셌었어.
50,50,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_012.wav,그래서 군대를 갔다 오니까 이제 대부분에 사람들이 무얼 꼰대라고 하는지 좀 알게 됐어.
51,51,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_013.wav,그게 되게 군대 갔다 오면 되게 그게 심해지더라구.
52,52,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_014.wav,"보통 이제 위에 사람이 아래 층 아래 있는 애들을 시키잖아, 군대에선."
53,53,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_015.wav,그래서 그 경향이 되게 심하게 보이더라구.
54,54,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_016.wav,쟤는 군대 안 갔다 와서 아직 모르는구나 이런 친구들이 정말 많아.
55,55,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_017.wav,어 특히 남자 남자 애들 보면.
56,56,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_018.wav,어 그래서 아까 같은 경우 그 대화 보면은 술자리에 가면 뭐 음식을 같이 먹으러 갔는데 어 위에 사람한테 어 저 물 좀 갖다주시겠어요 이 말이 나는 되게 조금 어 저게 말이 되는 건가라는 생각이 잠깐 들었거든.
57,57,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_019.wav,되게 어어 군대에서는 그게 되게 절대 안 되는 행동이니까 보통 이제 남자애들이 군대 갔다오면 그 생각을 많이 하지 않을까 싶어.
58,58,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_020.wav,뭐 되게 응 가영이는 그런 경험 있었어?
59,59,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_021.wav,꼰대를 하는 사람 있었어?
60,60,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_022.wav,응 어제 이제 되게 내가 너무 멀어서 혹시 바로 앞에 있는 물을 좀 주실 수 있나요 뭐 이렇게 하는 건 되는데 되게 저기 멀리 있는데 내 나 내가 갈수도 있는데 혹시 저기 물 좀 갖다 주실 수 있나요 이거는 나는 말이 안 된다고 생각해.
61,61,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_023.wav,어어어 맞아.
62,62,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_024.wav,어 식탁에 있는데 이제 앞에 있는 그 물을 달라고 하는 거는 되게 괜찮다고 생각을 하거든?
63,63,./KEMDy20_v1_1/wav\Session01\Sess01_script02_User002M_025.wav,그건 그 사람 앞에 있는 거니까.
