,id,char,freq
0,0,아,3768
1,1,친,235
2,2,구,368
3,3,들,1208
4,4,도,2181
5,5,?,1088
6,6,나,2685
7,7,는,4238
8,8,생,678
9,9,일,544
10,10,날,302
11,11,이,5560
12,12,면,1491
13,13,은,1262
14,14,내,921
15,15,가,4196
16,16,고,4374
17,17,기,1451
18,18,를,766
19,19,되,600
20,20,게,2153
21,21,좋,337
22,22,하,2521
23,23,니,2017
24,24,까,1288
25,25,엄,708
26,26,마,877
27,27,그,6152
28,28,걸,255
29,29,미,135
30,30,역,43
31,31,국,83
32,32,같,886
33,33,해,1279
34,34,주,427
35,35,시,596
36,36,데,2385
37,37,꼭,45
38,38,워,101
39,39,거,2697
40,40,여,389
41,41,행,99
42,42,을,1310
43,43,서,2265
44,44,먹,405
45,45,다,2286
46,46,깃,1
47,47,집,253
48,48,에,1837
49,49,어,3793
50,50,",",1666
51,51,.,5377
52,52,선,114
53,53,물,161
54,54,라,1090
55,55,보,860
56,56,통,67
57,57,돈,41
58,58,으,797
59,59,로,819
60,60,지,2811
61,61,용,48
62,62,옛,75
63,63,원,188
64,64,뭔,171
65,65,단,181
66,66,곤,35
67,67,했,567
68,68,던,357
69,69,애,800
70,70,옷,28
71,71,든,346
72,72,갖,102
73,73,싶,143
74,74,있,1407
75,75,근,1061
76,76,제,870
77,77,수,424
78,78,록,23
79,79,현,50
80,80,금,323
81,81,챙,32
82,82,겨,73
83,83,더,522
84,84,응,530
85,85,긴,175
86,86,족,53
87,87,것,365
88,88,랑,516
89,89,많,493
90,90,았,244
91,91,둘,78
92,92,빠,434
93,93,오,425
94,94,간,524
95,95,안,889
96,96,디,89
97,97,약,354
98,98,속,181
99,99,래,1070
100,100,말,626
101,101,좀,566
102,102,려,292
103,103,줬,63
104,104,냥,467
105,105,최,47
106,106,굳,37
107,107,자,1269
108,108,부,349
109,109,산,83
110,110,각,456
111,111,갔,155
112,112,척,8
113,113,처,166
114,114,음,342
115,115,엉,3
116,116,망,34
117,117,진,745
118,118,창,24
119,119,었,770
120,120,한,1210
121,121,꼰,198
122,122,대,821
123,123,특,34
124,124,징,11
125,125,막,921
126,126,런,922
127,127,떤,42
128,128,사,994
129,129,람,495
130,130,테,341
131,131,느,190
132,132,껴,20
133,133,질,56
134,134,솔,68
135,135,직,205
136,136,히,274
137,137,필,28
138,138,요,524
139,139,듣,49
140,140,싫,73
141,141,럼,128
142,142,괜,70
143,143,찮,67
144,144,모,278
145,145,르,186
146,146,때,893
147,147,러,698
148,148,너,585
149,149,렇,778
150,150,않,217
151,151,얘,286
152,152,인,569
153,153,알,235
154,154,의,251
155,155,위,135
156,156,만,573
157,157,경,176
158,158,험,70
159,159,없,475
160,160,우,608
161,161,회,103
162,162,식,210
163,163,리,1212
164,164,별,120
165,165,화,203
166,166,눈,64
167,167,편,121
168,168,였,128
169,169,달,90
170,170,정,352
171,171,중,178
172,172,적,287
173,173,문,135
174,174,갈,100
175,175,윗,3
176,176,와,194
177,177,조,197
178,178,언,227
179,179,띄,2
180,180,후,47
181,181,배,94
182,182,건,283
183,183,룸,4
184,184,메,13
185,185,야,1199
186,186,무,706
187,187,잘,304
188,188,맞,298
189,189,살,164
190,190,비,130
191,191,슷,15
192,192,버,181
193,193,스,323
194,194,타,100
195,195,넘,24
196,196,급,14
197,197,차,195
198,198,바,156
199,199,발,44
200,200,끄,14
201,201,져,78
202,202,앉,41
203,203,번,216
204,204,뭐,738
205,205,릴,29
206,206,초,51
207,207,등,79
208,208,학,250
209,209,교,208
210,210,른,136
211,211,파,28
212,212,트,77
213,213,텐,20
214,214,녔,16
215,215,열,47
216,216,심,198
217,217,땜,13
218,218,귄,5
219,219,병,41
220,220,님,159
221,221,갑,139
222,222,혹,28
223,223,슨,53
224,224,검,21
225,225,받,131
226,226,냐,233
227,227,환,23
228,228,묻,5
229,229,린,67
230,230,렸,87
231,231,난,297
232,232,당,135
233,233,황,49
234,234,못,229
235,235,됐,78
236,236,운,111
237,237,확,35
238,238,실,144
239,239,유,167
240,240,임,41
241,241,즘,99
242,242,드,140
243,243,프,45
244,244,램,6
245,245,예,200
246,246,능,67
247,247,채,34
248,248,널,25
249,249,끔,39
250,250,닝,19
251,251,맨,129
252,252,성,102
253,253,평,42
254,254,글,37
255,255,쎄,7
256,256,짝,30
257,257,남,217
258,258,녀,21
259,259,율,16
260,260,반,103
261,261,출,36
262,262,본,86
263,263,재,229
264,264,량,1
265,265,따,98
266,266,쟁,3
267,267,싸,53
268,268,움,23
269,269,견,25
270,270,랐,42
271,271,방,124
272,272,호,46
273,273,왜,210
274,274,상,357
275,275,높,18
276,276,잖,692
277,277,분,200
278,278,계,189
279,279,굉,10
280,280,장,254
281,281,동,219
282,282,입,102
283,283,개,119
284,284,관,47
285,285,두,94
286,286,승,15
287,287,겠,298
288,288,봐,169
289,289,될,50
290,290,저,321
291,291,힘,105
292,292,쓰,91
293,293,할,339
294,294,키,63
295,295,누,135
296,296,듯,22
297,297,찰,21
298,298,소,244
299,299,낫,5
300,300,외,49
301,301,큰,58
302,302,잠,168
303,303,꼬,90
304,304,빼,25
305,305,전,366
306,306,코,137
307,307,골,119
308,308,피,142
309,309,독,27
310,310,짜,616
311,311,닫,3
312,312,머,106
313,313,크,69
314,314,큼,14
315,315,킁,1
316,316,청,152
317,317,깬,8
318,318,씩,66
319,319,딱,157
320,320,엔,28
321,321,핸,25
322,322,폰,39
323,323,꾸,62
324,324,빅,14
325,325,켜,45
326,326,증,36
327,327,닌,75
328,328,떠,27
329,329,신,259
330,330,노,77
331,331,커,53
332,332,목,25
333,333,종,25
334,334,류,8
335,335,써,21
336,336,쪽,59
337,337,카,45
338,338,네,240
339,339,양,41
340,340,합,18
341,341,명,117
342,342,절,45
343,343,돌,62
344,344,레,75
345,345,뒤,51
346,346,된,102
347,347,럴,50
348,348,늦,15
349,349,잔,36
350,350,섯,17
351,351,규,6
352,352,칙,2
353,353,불,94
354,354,깨,48
355,355,깍,5
356,356,연,205
357,357,락,60
358,358,닮,12
359,359,올,50
360,360,케,11
361,361,찹,2
362,362,맛,97
363,363,취,47
364,364,술,114
365,365,팠,6
366,366,볍,2
367,367,복,58
368,368,염,12
369,369,터,131
370,370,작,67
371,371,줄,106
372,372,몸,15
373,373,픈,13
374,374,밥,159
375,375,낌,76
376,376,온,62
377,377,웠,32
378,378,죠,24
379,379,놓,76
380,380,숙,29
381,381,끼,86
382,382,녁,17
383,383,영,171
384,384,업,47
385,385,침,49
386,386,셔,42
387,387,숫,1
388,388,루,25
389,389,점,68
390,390,결,72
391,391,박,65
392,392,접,37
393,393,낀,12
394,394,똑,56
395,395,혼,166
396,396,희,22
397,397,형,37
398,398,떻,108
399,399,벌,26
400,400,딸,34
401,401,설,26
402,402,변,47
403,403,눠,4
404,404,빤,3
405,405,봤,167
406,406,욱,6
407,407,공,66
408,408,감,121
409,409,밖,62
