,id,char,freq
0,0,나,2850
1,1,는,5130
2,2,어,4392
3,3,머,148
4,4,니,1974
5,5,",",1903
6,6,엄,430
7,7,마,643
8,8,가,4585
9,9,이,7365
10,10,제,1982
11,11,생,884
12,12,일,582
13,13,때,1104
14,14,다,2496
15,15,미,160
16,16,역,66
17,17,국,146
18,18,도,2469
19,19,많,704
20,20,해,1351
21,21,서,2293
22,22,을,1643
23,23,되,818
24,24,게,2670
25,25,좋,362
26,26,아,4170
27,27,하,2731
28,28,거,3495
29,29,든,499
30,30,.,5824
31,31,전,447
32,32,에,2294
33,33,말,601
34,34,했,560
35,35,지,3229
36,36,만,735
37,37,그,7193
38,38,래,979
39,39,랑,441
40,40,볶,12
41,41,음,465
42,42,김,51
43,43,치,240
44,44,막,1306
45,45,주,527
46,46,셔,53
47,47,맨,137
48,48,날,319
49,49,렇,874
50,50,차,276
51,51,려,346
52,52,시,853
53,53,데,2566
54,54,옛,98
55,55,집,265
56,56,밥,136
57,57,먹,287
58,58,보,1035
59,59,캔,2
60,60,모,309
61,61,빙,8
62,62,수,578
63,63,있,1893
64,64,잖,688
65,65,응,361
66,66,기,1649
67,67,를,910
68,68,앞,60
69,69,조,197
70,70,한,1442
71,71,로,1115
72,72,었,936
73,73,청,186
74,74,매,54
75,75,번,291
76,76,같,1064
77,77,갔,203
78,78,둘,50
79,79,파,58
80,80,티,22
81,81,냥,676
82,82,간,724
83,83,단,274
84,84,경,209
85,85,우,576
86,86,고,4771
87,87,통,91
88,88,면,1709
89,89,친,446
90,90,구,598
91,91,들,1553
92,92,불,123
93,93,러,628
94,94,으,831
95,95,케,29
96,96,익,31
97,97,랬,170
98,98,던,393
99,99,험,110
100,100,초,72
101,101,등,98
102,102,학,313
103,103,교,236
104,104,였,182
105,105,중,215
106,106,쯤,25
107,107,문,211
108,108,닫,9
109,109,았,221
110,110,돌,65
111,111,저,517
112,112,광,57
113,113,런,1312
114,114,갈,106
115,115,각,579
116,116,자,1331
117,117,났,82
118,118,부,442
119,119,맛,71
120,120,대,1205
121,121,인,866
122,122,좀,794
123,123,찾,40
124,124,향,20
125,125,애,702
126,126,추,58
127,127,억,119
128,128,꼭,19
129,129,떡,6
130,130,멍,11
131,131,딱,256
132,132,두,119
133,133,개,155
134,134,무,626
135,135,건,391
136,136,켜,46
137,137,뭐,1598
138,138,선,188
139,139,물,184
140,140,은,1751
141,141,?,1241
142,142,셨,97
143,143,용,74
144,144,돈,49
145,145,사,1350
146,146,싶,139
147,147,금,335
148,148,의,420
149,149,후,92
150,150,뭔,189
151,151,념,10
152,152,받,132
153,153,또,298
154,154,요,1003
155,155,신,242
156,156,편,134
157,157,써,17
158,158,줬,45
159,159,책,20
160,160,된,155
161,161,걸,241
162,162,드,193
163,163,렸,108
164,164,쓰,94
165,165,여,574
166,166,행,125
167,167,리,1153
168,168,른,153
169,169,변,52
170,170,비,153
171,171,당,163
172,172,연,236
173,173,줄,78
174,174,알,205
175,175,진,808
176,176,록,15
177,177,남,263
178,178,까,1460
179,179,더,563
180,180,라,1305
181,181,첩,1
182,182,열,49
183,183,계,212
184,184,속,160
185,185,버,283
186,186,형,182
187,187,떨,41
188,188,져,75
189,189,야,1109
190,190,럼,161
191,191,디,105
192,192,최,63
193,193,근,1031
194,194,산,81
195,195,울,114
196,196,쪽,120
197,197,옆,66
198,198,워,106
199,199,갖,123
200,200,것,417
201,201,새,118
202,202,내,902
203,203,배,152
204,204,달,116
205,205,밖,55
206,206,영,198
207,207,않,241
208,208,년,129
209,209,봐,186
210,210,겠,344
211,211,꼰,261
212,212,처,266
213,213,왔,151
214,214,느,261
215,215,꼈,40
216,216,와,230
217,217,회,145
218,218,활,72
219,219,동,227
220,220,과,93
221,221,술,129
222,222,짜,649
223,223,언,43
224,224,떻,194
225,225,첫,36
226,226,접,31
227,227,위,164
228,228,윗,6
229,229,분,274
230,230,님,148
231,231,없,530
232,232,1,176
233,233,끝,54
234,234,람,656
235,235,군,220
236,236,오,485
237,237,히,455
238,238,돼,103
239,239,방,180
240,240,상,457
241,241,혹,95
242,242,봤,230
243,243,못,266
244,244,잔,23
245,245,소,253
246,246,냐,286
247,247,낌,96
248,248,셌,1
249,249,얼,67
250,250,됐,79
251,251,심,135
252,252,층,15
253,253,키,70
254,254,쟤,17
255,255,안,903
256,256,직,275
257,257,르,256
258,258,정,491
259,259,특,60
260,260,화,196
261,261,식,224
262,262,테,348
263,263,잠,194
264,264,깐,63
265,265,절,60
266,266,너,572
267,267,멀,21
268,268,바,206
269,269,실,185
270,270,맞,298
271,271,탁,18
272,272,괜,74
273,273,찮,56
274,274,세,148
275,275,준,131
276,276,얘,295
277,277,적,483
278,278,스,243
279,279,살,213
280,280,입,124
281,281,타,77
282,282,온,84
283,283,원,212
284,284,앉,15
285,285,볼,43
286,286,결,73
287,287,룸,5
288,288,메,14
289,289,숙,38
290,290,난,283
291,291,졌,68
292,292,공,92
293,293,유,182
294,294,깔,19
295,295,름,43
296,296,놀,55
297,297,굴,27
298,298,웃,83
299,299,겼,57
300,300,할,423
301,301,눠,15
302,302,별,127
303,303,터,131
304,304,반,125
305,305,약,517
306,306,장,286
307,307,슷,32
308,308,녀,18
309,309,황,70
310,310,긴,228
311,311,예,432
312,312,색,23
313,313,네,362
314,314,체,104
315,315,프,89
316,316,램,17
317,317,패,14
318,318,밀,18
319,319,떴,5
320,320,즘,90
321,321,닝,31
322,322,임,98
323,323,M,13
324,324,T,45
325,325,민,71
326,326,붙,17
327,327,재,262
328,328,밌,158
329,329,렵,8
330,330,성,178
331,331,평,62
332,332,감,220
333,333,잘,355
334,334,따,96
335,335,론,29
336,336,똑,53
337,337,호,67
338,338,율,16
339,339,낮,6
340,340,높,22
341,341,쟁,5
342,342,린,55
343,343,표,52
344,344,굳,24
345,345,춰,20
346,346,본,155
347,347,량,17
348,348,올,81
349,349,채,18
350,350,률,2
351,351,취,47
352,352,업,67
353,353,듯,21
354,354,노,99
355,355,력,66
356,356,3,62
357,357,0,135
358,358,출,30
359,359,관,119
360,360,긋,3
361,361,견,27
362,362,찰,20
363,363,뵀,1
364,364,필,60
365,365,능,85
366,366,닌,90
367,367,낙,9
368,368,될,72
369,369,럴,77
370,370,싫,61
371,371,확,72
372,372,명,151
373,373,루,22
374,374,늘,27
375,375,령,11
376,376,꼬,114
377,377,땜,14
378,378,힘,137
379,379,탱,8
380,380,크,109
381,381,코,319
382,382,골,203
383,383,훈,34
384,384,련,45
385,385,눈,45
386,386,잤,30
387,387,누,151
388,388,A,112
389,389,I,109
390,390,피,126
391,391,커,50
392,392,웠,48
393,393,클,16
394,394,슨,47
395,395,줘,37
396,396,뚱,6
397,397,트,108
398,398,듣,48
399,399,랜,8
400,400,검,9
401,401,발,67
402,402,씨,65
403,403,끔,56
404,404,혼,133
405,405,잣,4
406,406,띠,2
407,407,링,3
408,408,갑,114
409,409,참,118
410,410,팝,10
411,411,송,30
412,412,B,4
413,413,G,1
414,414,떤,127
415,415,레,57
416,416,작,52
417,417,2,81
418,418,넘,44
419,419,빠,239
420,420,늦,35
421,421,왜,141
422,422,락,70
423,423,렐,2
424,424,욱,6
425,425,걱,15
426,426,몇,60
427,427,뿔,1
428,428,덜,9
429,429,외,61
430,430,밤,20
431,431,릴,60
432,432,강,69
433,433,찹,3
434,434,손,60
435,435,냉,3
436,436,뒤,44
437,437,흐,11
438,438,끊,8
